Type;Statut;Complément;Date de réalisation;Longueur;Date de pérennisation;geo_shape;geo_point_2d
Piste cyclable temporaire;Réalisé;ligne 1 et RER A;2020-05-11;1729.54310228;;"{""type"": ""LineString"", ""coordinates"": [[2.460358000220799, 48.83888699997733], [2.449120000316303, 48.841835000155925], [2.448235000318798, 48.843112999558805], [2.4461749999036613, 48.843790999562124], [2.439222000149206, 48.844524999680885]]}";48.841996931,2.44981605824
Piste cyclable temporaire;A venir;;;927.77599303;;"{""type"": ""LineString"", ""coordinates"": [[2.2748629682541193, 48.858172471779845], [2.274759659094952, 48.85763150975579], [2.27473646141153, 48.85710981874077], [2.274733079775519, 48.85644705093001], [2.275373826474186, 48.85482618310825], [2.275524495384625, 48.854208011690254], [2.27582761231986, 48.852967812629814], [2.275780377608937, 48.8527485438454], [2.2790546749311122, 48.85091352043257]]}";48.8540009418,2.27607640121
Piste cyclable temporaire;Réalisé;;2020-08-12;304.94586907;;"{""type"": ""LineString"", ""coordinates"": [[2.322847947680724, 48.83770350172389], [2.322581130671863, 48.83764525964958], [2.322364365388093, 48.83762637543221], [2.320917800533342, 48.837513130794996], [2.32021482210477, 48.83748862585627], [2.319571803689003, 48.83737133982844], [2.319444759710709, 48.83736120337113], [2.31877079549614, 48.83723850349967]]}";48.8374949131,2.32080640856
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-05;547.9769275;;"{""type"": ""LineString"", ""coordinates"": [[2.319072999387834, 48.86265300005226], [2.320221000576511, 48.86421899969957], [2.321532000436897, 48.863896999683426], [2.323035000459435, 48.865934000155065]]}";48.8642233731,2.32107818626
Piste cyclable temporaire;A venir;;;207.35380919;;"{""type"": ""LineString"", ""coordinates"": [[2.253644770611996, 48.8367666396497], [2.254289410885534, 48.836769913814116], [2.2552968917493548, 48.836633947792706], [2.255951850491406, 48.836490349626544], [2.256330164202335, 48.83631552773318]]}";48.8366380558,2.25500655671
Piste cyclable temporaire;A venir;;;194.10543121;;"{""type"": ""LineString"", ""coordinates"": [[2.253644770611996, 48.8367666396497], [2.253824892174501, 48.836897183777054], [2.253930487143057, 48.837065964773515], [2.254232906426146, 48.83798119709974], [2.254093339508411, 48.838421381697614]]}";48.8375512871,2.25403829315
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-05-15;502.97821862;;"{""type"": ""LineString"", ""coordinates"": [[2.325583000382641, 48.82330300015468], [2.326316999526066, 48.82637199973068], [2.326775575241573, 48.82775574431634]]}";48.8255410083,2.32613842002
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-13;670.64194619;;"{""type"": ""LineString"", ""coordinates"": [[2.325701118347247, 48.88725649309565], [2.325590158701816, 48.88749744582655], [2.327467993366486, 48.893142449306545]]}";48.8901943211,2.32649136487
Piste cyclable temporaire;A venir;;;1157.43994753;;"{""type"": ""LineString"", ""coordinates"": [[2.31237700024029, 48.84286400034054], [2.317704101234504, 48.84442254713589], [2.320203394313758, 48.84511344750706], [2.326546038433233, 48.846947876297286], [2.326855530436908, 48.846950231416166]]}";48.8449519312,2.31960916939
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-01;591.8981066;;"{""type"": ""LineString"", ""coordinates"": [[2.319306000220598, 48.89110399991627], [2.325377949163927, 48.887596714362836]]}";48.8893503571,2.32234197469
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-01;590.86361995;;"{""type"": ""LineString"", ""coordinates"": [[2.314511617407356, 48.851832936905964], [2.314486692778984, 48.851411639660036], [2.31445351134767, 48.850992211473155], [2.314356062716016, 48.850790629163086], [2.315971343643938, 48.84793424052235], [2.316270000351443, 48.84744599963888], [2.31656999980609, 48.84679000022513]]}";48.8492727263,2.31528985447
Piste cyclable temporaire;Réalisé;;2020-06-26;511.01700755;;"{""type"": ""LineString"", ""coordinates"": [[2.343693501627131, 48.87581246845989], [2.34094108457008, 48.87508266055076], [2.337214149881326, 48.874123490206344]]}";48.874962206,2.34045533405
Piste cyclable temporaire;Réalisé;;2020-09-03;1333.72887779;;"{""type"": ""LineString"", ""coordinates"": [[2.296380845809208, 48.83728681479687], [2.299418134558461, 48.838785872105454], [2.300823018623785, 48.839417433830526], [2.304248121385195, 48.840409362720166], [2.31237700024029, 48.84286400034054]]}";48.8403270083,2.30428021348
Piste cyclable temporaire;Réalisé sud;ligne 4 et  RER B;2020-05-27;2626.62116164;;"{""type"": ""LineString"", ""coordinates"": [[2.342045578480295, 48.844326854966795], [2.341428999331296, 48.84317900006227], [2.341214000522883, 48.84137199994418], [2.339776999521777, 48.838660999730244], [2.335850000267371, 48.832978000336475], [2.334197999897789, 48.8303309995735], [2.333961999611155, 48.82970900033121], [2.332528999327794, 48.827851999727784], [2.3302820003289613, 48.822157000215704]]}";48.8332708471,2.33618017474
Piste cyclable temporaire;A venir;;;2244.78700915;;"{""type"": ""LineString"", ""coordinates"": [[2.396369503704233, 48.886265079387556], [2.394011000620242, 48.88644799975298], [2.389854557398895, 48.88609727751993], [2.386878008924991, 48.88567362362584], [2.3828103104297202, 48.884907545797354], [2.379028655798114, 48.88463089839131], [2.378755059815679, 48.88452692714756], [2.375079499532602, 48.88249979673865], [2.374166208767268, 48.88201183149103], [2.37337855032247, 48.88132944043608], [2.373146802258248, 48.88120541485165], [2.372845460454263, 48.88081504576651], [2.37274122759802, 48.88053684334485], [2.370621559282739, 48.878311441068405]]}";48.8841999214,2.38270320386
Piste cyclable temporaire;A venir;;2020-06-23;241.65343642;;"{""type"": ""LineString"", ""coordinates"": [[2.385539998253844, 48.8975478682085], [2.388835650340946, 48.89758166606095]]}";48.8975647671,2.3871878243
Piste cyclable temporaire;A venir;;;659.16927997;;"{""type"": ""LineString"", ""coordinates"": [[2.3700422533331063, 48.87770980849237], [2.369910830712027, 48.8775789123927], [2.368498029667264, 48.876144344907466], [2.368308855136385, 48.876022365716494], [2.368282825816334, 48.875953452696734], [2.364896035681367, 48.87370790327936], [2.364213863218406, 48.8732426966793]]}";48.8753531108,2.36723212779
Piste cyclable temporaire;Réalisé;;2020-06-18;383.41107587;;"{""type"": ""LineString"", ""coordinates"": [[2.344165000208759, 48.90126099961247], [2.344121999656932, 48.89829900042526], [2.344551000160625, 48.89790399979969]]}";48.8995039229,2.34417524428
Piste cyclable pérenne;Réalisé;ligne 13;2020-05-15;602.05053855;2020-05-15;"{""type"": ""LineString"", ""coordinates"": [[2.315236203999567, 48.857963168711336], [2.315369517274142, 48.858844033191986], [2.314690220631665, 48.85888342537697], [2.315246999423534, 48.862945999858994]]}";48.8602742368,2.31502846055
Piste cyclable temporaire;A venir;;;4254.65154991;;"{""type"": ""LineString"", ""coordinates"": [[2.319002000346325, 48.86254899999743], [2.318985000080109, 48.86252500034664], [2.319252999674252, 48.8624419997303], [2.319367999470432, 48.8623939999111], [2.31946699971491, 48.86233499988898], [2.319523000112564, 48.8622859997847], [2.319641000171837, 48.86218199986157], [2.319792000537102, 48.8620339996308], [2.31990499962068, 48.86191799975812], [2.320335999381923, 48.86149299980094], [2.320413000636921, 48.861417000412345], [2.320546999464064, 48.86127400012201], [2.320617000623813, 48.8611999996743], [2.320782000382501, 48.86101700019873], [2.321469999928042, 48.86026100018104], [2.321717999888503, 48.85999199994792], [2.322000000527562, 48.859701000290976], [2.322523000384482, 48.859163000418846], [2.322565000224189, 48.85912000004267], [2.322653999478691, 48.85902800008384], [2.322744000526732, 48.85892999984941], [2.323046999824896, 48.85859999992267], [2.323087999790441, 48.858554999825635], [2.323128999685165, 48.8585099997127], [2.323200999830738, 48.85843399976444], [2.323490000170144, 48.85812799959357], [2.323581999562973, 48.85803100015178], [2.323616999910764, 48.85799399986029], [2.323896000456882, 48.85769799955695], [2.324598000395564, 48.85697200017804], [2.325376000650075, 48.85639599996881], [2.325743999368751, 48.85613599965996], [2.325838000431145, 48.8560910003941], [2.325971999573829, 48.856039000052945], [2.326080000148569, 48.85599200014478], [2.326778000310683, 48.85567299989396], [2.326841000005177, 48.85564300021474], [2.326966000297531, 48.855586999961254], [2.327677999778117, 48.855274999974455], [2.329049000598086, 48.85488499982719], [2.329224000111065, 48.854835000143375], [2.329291999921346, 48.85481500013969], [2.330341999640048, 48.854503999658924], [2.330470000294492, 48.85446599961497], [2.330607999634091, 48.85437499972031], [2.331109999889876, 48.85425600015719], [2.331489000197051, 48.854165999968075], [2.331598000278924, 48.85414099975992], [2.33187099940664, 48.85407499995182], [2.332037999590177, 48.854036000057974], [2.332184999832278, 48.854078000250844], [2.332715000655425, 48.85395100027444], [2.333055999599237, 48.85386300010614], [2.333125999584718, 48.853848999675236], [2.333341999495028, 48.85379499999175], [2.333714000190803, 48.853704000442924], [2.3341990004414273, 48.85358700044949], [2.3346610005840303, 48.85347499962337], [2.335351999756009, 48.853307000112224], [2.335520999658445, 48.853264999921294], [2.335592999391456, 48.85324699982648], [2.335895000306826, 48.85316799970065], [2.336905000658097, 48.85292300026939], [2.336992000183979, 48.852902000366164], [2.336992999821469, 48.85284700041612], [2.33711099960895, 48.85281400031794], [2.337714000138662, 48.8526679996842], [2.3378070003296942, 48.852644999857894], [2.338611000509566, 48.85244699997357], [2.338744000486708, 48.85241999983888], [2.338930000332227, 48.852374000308274], [2.33990100048837, 48.85213699999438], [2.340163999436121, 48.85207199992404], [2.341963999475935, 48.85163200008942], [2.342970000011507, 48.85138600021279], [2.34307099993454, 48.851360999583264], [2.343145000403393, 48.851342999631754], [2.343827999346043, 48.85118000029159], [2.344143000038482, 48.85108299964655], [2.344909999715153, 48.85090700017992], [2.3453540003850932, 48.85080499974828], [2.345504999690051, 48.85077100005497], [2.345897000312942, 48.850676999818276], [2.346391000312556, 48.8505590004095], [2.347420999614428, 48.85031199968203], [2.3475210001873252, 48.85028799982204], [2.347975000338607, 48.85017299992457], [2.348129999444619, 48.85020199976968], [2.34838500027444, 48.85013800018981], [2.34867199998146, 48.85006600001179], [2.3487400002553542, 48.850048999994655], [2.34900800052646, 48.849983999609975], [2.349422999992859, 48.84988500011224], [2.349447999709307, 48.84987899973455], [2.350214000406861, 48.84968699995186], [2.350276999538901, 48.8496709998648], [2.350366999448083, 48.84964499980753], [2.350490999849765, 48.849618999895384], [2.350890999852235, 48.84959500029229], [2.351571000482633, 48.849570999960655], [2.3517630000306, 48.849567000373554], [2.351874000589091, 48.849562999714664], [2.35244999954311, 48.84953900025343], [2.352702000349819, 48.849528000425515], [2.352873000180438, 48.849521000307874], [2.353037999644799, 48.849514999961734], [2.354186000658003, 48.849465999587466], [2.354264999447995, 48.849462000243804], [2.35442199997332, 48.84945000017821], [2.35473599931449, 48.84942700040466], [2.355004000369869, 48.849416000182245], [2.355356000409552, 48.84943400025462], [2.355786999436449, 48.84941900008783], [2.355963999768427, 48.84941400015403], [2.356133999748562, 48.849407999974815], [2.35663300057319, 48.84939200016902], [2.356727999576824, 48.849397999744575], [2.356789999866808, 48.849402999835895], [2.35695799982535, 48.849442999713936], [2.35699100063461, 48.84945299984725], [2.358831999894591, 48.85002000032937], [2.3589589993548, 48.85005899969044], [2.359029999692555, 48.85008099968994], [2.359080000191689, 48.85009599989001], [2.359338999937656, 48.85017599970194], [2.359800000351007, 48.85031899970168], [2.359990000300224, 48.85037500009033], [2.3600930004876712, 48.850407999754914], [2.360229000161101, 48.85044800009574], [2.361246000131165, 48.85075300004148], [2.36127299953713, 48.85076200012711], [2.361314000160473, 48.8507739996491], [2.361428999880766, 48.85081000038927], [2.365482000449373, 48.85204400020057], [2.365486999417841, 48.85204599989224], [2.365547000110821, 48.85206400025412], [2.3656430003361413, 48.852090999719394], [2.365932000320257, 48.852184000316946], [2.366300999686888, 48.852287000237624], [2.366988000395838, 48.85249200014489], [2.367059000569648, 48.85251399979212], [2.367366000122432, 48.85260700034435], [2.367824999483275, 48.85273999976686], [2.368045000082649, 48.852803999699944], [2.368119000561812, 48.8528250000838], [2.368432000134411, 48.852916999782096], [2.368494999745971, 48.85289799981336], [2.368499000535691, 48.85290399982512]]}";48.8531157298,2.34273819328
Piste cyclable temporaire;A venir;;2020-07-04;83.3344164;;"{""type"": ""LineString"", ""coordinates"": [[2.415339718712269, 48.85437887122629], [2.415232999491039, 48.855125000254745]]}";48.8547519357,2.4152863591
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-01;421.45185679;;"{""type"": ""LineString"", ""coordinates"": [[2.314617999525142, 48.84047900020618], [2.318136691690054, 48.837483797415786]]}";48.8389813988,2.31637734561
Piste cyclable temporaire;A venir;ligne 4 et  RER B;;147.12967909;;"{""type"": ""LineString"", ""coordinates"": [[2.331911034326938, 48.83368827933393], [2.332902209880447, 48.83483836110317]]}";48.8342633202,2.3324066221
Piste cyclable temporaire;Réalisé;;2020-06-24;51.47203072;;"{""type"": ""LineString"", ""coordinates"": [[2.363733126142952, 48.87290549373308], [2.364213863218406, 48.8732426966793]]}";48.8730740952,2.36397349468
Piste cyclable temporaire;Réalisé;;2020-08-05;121.2519792;;"{""type"": ""LineString"", ""coordinates"": [[2.2664080819670698, 48.83552991254528], [2.266697193880514, 48.835403256171], [2.266869989823854, 48.835291283539874], [2.266902824457914, 48.835199275274746], [2.266938390216013, 48.83459269337093]]}";48.8351463376,2.26680021981
Tunnel;Réalisé;ligne 1 et RER A;2020-05-09;633.33537731;2020-05-09;"{""type"": ""LineString"", ""coordinates"": [[2.298761794787325, 48.872594349002284], [2.298363185637543, 48.87293533836009], [2.297428264743785, 48.87322959574781], [2.296797313631254, 48.87346401612981], [2.295627028061668, 48.87402125986877], [2.295302473976345, 48.874142121591305], [2.294888456030873, 48.87425099875583], [2.294363266591858, 48.87431744204824], [2.293442267344789, 48.8744905935803], [2.291925722442869, 48.874965168434024], [2.291140536077536, 48.875016196951265]]}";48.8740317906,2.29503307193
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-05-30;760.69092643;;"{""type"": ""LineString"", ""coordinates"": [[2.326775575241573, 48.82775574431634], [2.326831999648155, 48.82792600007268], [2.331911034326938, 48.83368827933393]]}";48.8307394553,2.32931292644
Piste cyclable temporaire;A venir;ligne 4 et  RER B;;263.34709201;;"{""type"": ""LineString"", ""coordinates"": [[2.344781959340336, 48.85421362361763], [2.345428502838391, 48.85479202270556], [2.345860285132901, 48.85532853307447], [2.346336641704723, 48.85597687131385], [2.346565509688086, 48.856260816462566]]}";48.8551993701,2.34571476124
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-05-08;1722.68725954;;"{""type"": ""LineString"", ""coordinates"": [[2.336966937421652, 48.83959990799385], [2.337244999416245, 48.84069799984261], [2.340902999594195, 48.84740600032679], [2.342705999745892, 48.85028600036574], [2.344359540664426, 48.85379000648719], [2.344726135493122, 48.85418582737377]]}";48.8469564409,2.34071852107
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-05-20;357.58466093;;"{""type"": ""LineString"", ""coordinates"": [[2.323932648062568, 48.82027765339303], [2.325057983296519, 48.821872547455825], [2.325115203234591, 48.82206091762033], [2.32555389362435, 48.82329158474436]]}";48.8217313243,2.32484633239
Piste cyclable temporaire;Réalisé;;2020-09-15;492.15108942;;"{""type"": ""LineString"", ""coordinates"": [[2.2575439128673658, 48.83761682006195], [2.258228786354201, 48.83741757362187], [2.259593036318805, 48.83720563661091], [2.260329942019682, 48.83700163762753], [2.260666109782625, 48.83703171892889], [2.263573175113648, 48.836618650514346], [2.263788613754115, 48.83636311487207]]}";48.8370310075,2.26070850324
Piste cyclable temporaire;Réalisé;;2020-06-27;183.91359698;;"{""type"": ""LineString"", ""coordinates"": [[2.301635999815642, 48.86414999972664], [2.301786000600654, 48.86249899989465]]}";48.8633244998,2.30171100021
Piste cyclable temporaire;Réalisé;;2020-08-17;503.15335889;;"{""type"": ""LineString"", ""coordinates"": [[2.367294819426837, 48.84564488055835], [2.3724870003787, 48.848600000179076]]}";48.8471224404,2.3698909099
Piste cyclable temporaire;A venir;;;223.3036886;;"{""type"": ""LineString"", ""coordinates"": [[2.293944443395337, 48.836084185055874], [2.2939800579955962, 48.83610178646283], [2.296380845809208, 48.83728681479687]]}";48.8366855087,2.29516264029
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-13;565.19476785;;"{""type"": ""LineString"", ""coordinates"": [[2.327467993366486, 48.893142449306545], [2.32807677426146, 48.89505532981088], [2.328759966337449, 48.89706328858675], [2.329044353970389, 48.89811706225658]]}";48.8956254918,2.32827110279
Piste cyclable temporaire;A venir;;;245.73926186;;"{""type"": ""LineString"", ""coordinates"": [[2.370621559282739, 48.878311441068405], [2.370522502581982, 48.878405075794234], [2.370453390952516, 48.87842560025353], [2.3700955025173602, 48.878439105244986], [2.370003455620744, 48.87841620054309], [2.369919139490928, 48.87832953515951], [2.369876405709606, 48.87824132859462], [2.369870999443644, 48.878123000209285], [2.369873620850969, 48.87794690679317], [2.36991104569548, 48.877842220056564], [2.3700422533331063, 48.87770980849237], [2.370148702456842, 48.87766058696218], [2.370285026154757, 48.87763609494639], [2.37040692227278, 48.87764908931487], [2.3705711334951, 48.8777352365073], [2.370635430628949, 48.87785567497746], [2.370685851584143, 48.87801878840553], [2.370621559282739, 48.878311441068405]]}";48.8780551658,2.3702697596
Piste cyclable temporaire;A venir;;;2250.03456488;;"{""type"": ""LineString"", ""coordinates"": [[2.294064513598016, 48.87243432920767], [2.293228743828168, 48.8712853689727], [2.291594929417679, 48.869030881655725], [2.289987671208185, 48.86681567910214], [2.288676523620028, 48.864967933707526], [2.287494000686259, 48.86339945291781], [2.287021369839835, 48.86238846224686], [2.286739873448889, 48.86210442039822], [2.286137726294836, 48.86188996591619], [2.281046295538822, 48.86023445751544], [2.279127698573617, 48.8597387240837], [2.277354786961735, 48.85923557871219], [2.274979443179356, 48.85833341515139], [2.2748629682541193, 48.858172471779845]]}";48.8637658769,2.28558082214
Piste cyclable temporaire;A venir;;;174.93203633;;"{""type"": ""LineString"", ""coordinates"": [[2.274621000542293, 48.847109000402185], [2.276615999670837, 48.84624799967271]]}";48.8466785,2.27561850011
Piste cyclable temporaire;Réalisé;;2020-06-26;333.03292621;;"{""type"": ""LineString"", ""coordinates"": [[2.337214149881326, 48.874123490206344], [2.333019907091245, 48.872976595242356]]}";48.8735500427,2.33511702849
Piste cyclable temporaire;A venir;;;1761.98969279;;"{""type"": ""LineString"", ""coordinates"": [[2.277446428480198, 48.84611706699044], [2.293586581324952, 48.84692863773559], [2.295746563350045, 48.84704413701552], [2.296172199870835, 48.84711221173057], [2.301275098618173, 48.84782975833289]]}";48.8467791646,2.28937932303
Piste cyclable temporaire;A venir;;;720.91732347;;"{""type"": ""LineString"", ""coordinates"": [[2.408253106324481, 48.864523218201775], [2.398443844662387, 48.864910475129804]]}";48.8647168467,2.40334847549
Piste cyclable temporaire;Réalisé;;2020-06-18;797.65804214;;"{""type"": ""LineString"", ""coordinates"": [[2.344551000160625, 48.89790399979969], [2.348912279841774, 48.89253386076978], [2.349625439667741, 48.891559776014645]]}";48.8947476216,2.34710861718
Piste cyclable temporaire;Réalisé;;2020-08-25;1086.04190759;;"{""type"": ""LineString"", ""coordinates"": [[2.404383217456771, 48.871703230710594], [2.398649446220022, 48.86510022950174], [2.398443844662387, 48.864910475129804], [2.3962010014136013, 48.86499452273016], [2.395531331471652, 48.86499280254573]]}";48.8674825467,2.40034139177
Piste cyclable temporaire;A venir;;;165.21473532;;"{""type"": ""LineString"", ""coordinates"": [[2.272618323224177, 48.858290476084804], [2.2748629682541193, 48.858172471779845]]}";48.8582314739,2.27374064574
Piste cyclable temporaire;Réalisé;;2020-06-27;356.80506953;;"{""type"": ""LineString"", ""coordinates"": [[2.370284157531814, 48.89869098699528], [2.37024847030218, 48.89984531615911], [2.370222781976452, 48.90038938655511], [2.370309266406529, 48.90052036767933], [2.3703194048116663, 48.90089077716676], [2.370296660755741, 48.90098442538981], [2.370165007485161, 48.90152092879449], [2.370261407558461, 48.901808120400474], [2.370318145621896, 48.90186006353102]]}";48.9003007825,2.37025745919
Piste cyclable temporaire;Réalisé;;2020-09-07;319.49021671;;"{""type"": ""LineString"", ""coordinates"": [[2.2575439128673658, 48.83761682006195], [2.257641438990877, 48.83787372051099], [2.257597756816688, 48.838022880677705], [2.257322205548353, 48.83832718357634], [2.256999310254722, 48.83842686803166], [2.256477758555135, 48.83829921847175], [2.256381936689441, 48.8381626228355], [2.25640005497873, 48.8378173679656], [2.2565442168518, 48.837630779249785], [2.256789376659792, 48.83747900140479], [2.256918429457038, 48.83741884886455], [2.25735839202159, 48.83750724950159], [2.2575439128673658, 48.83761682006195]]}";48.8379280809,2.25699275594
Piste cyclable temporaire;Réalisé;ligne 13;2020-07-15;312.60782549;;"{""type"": ""LineString"", ""coordinates"": [[2.310156999490268, 48.89612400038503], [2.313427000539614, 48.894320000341295]]}";48.8952220004,2.31179200001
Piste cyclable temporaire;Réalisé;;2020-06-18;630.39796057;;"{""type"": ""LineString"", ""coordinates"": [[2.395531331471652, 48.86499280254573], [2.395368595408017, 48.864887311673805], [2.391106117794091, 48.86380427575064], [2.387543842852828, 48.86293709084981]]}";48.8639268378,2.3915523727
Piste cyclable temporaire;Réalisé;;2020-06-23;102.0902314;;"{""type"": ""LineString"", ""coordinates"": [[2.386288779226912, 48.898321919136556], [2.385539998253844, 48.8975478682085]]}";48.8979348937,2.38591438874
Piste cyclable temporaire;Réalisé;;2020-09-03;559.00910661;;"{""type"": ""LineString"", ""coordinates"": [[2.288347036956087, 48.83268319786071], [2.29289999992468, 48.83556800021388], [2.293944443395337, 48.836084185055874]]}";48.8344278325,2.29112093984
